,geometry,demand
0,POINT (106.65533560109883 10.74857607059812),1.4848747864182816
1,POINT (106.71274119750186 10.72998970708163),5.231602673933857
2,POINT (106.75017984928598 10.796739329153407),6.202086982878952
3,POINT (106.7970833376516 10.80511150633998),3.0825013281411167
4,POINT (106.72231440012267 10.793713588986936),2.132295293829091
5,POINT (106.6955533006575 10.726188116734058),6.5836982376562085
6,POINT (106.78931233206995 10.801537489351556),5.008753278910122
7,POINT (106.77940831346481 10.818338349623117),6.432187088036206
8,POINT (106.77278407098979 10.795034971051908),2.4224655880867596
9,POINT (106.79890832673031 10.802174550143025),2.2845959514581526
10,POINT (106.77451102509184 10.61790385208955),7.975323301071425
11,POINT (106.77285768119654 10.468363825572952),6.090336508913662
12,POINT (106.62604000218019 10.745463491580386),9.884669976790615
13,POINT (106.62598044318524 10.74481509017606),3.7645219349070658
14,POINT (106.66363187481959 10.834671500796793),2.163258855051403
15,POINT (106.68309697876415 10.836426792229311),9.206762406181507
16,POINT (106.77239980701765 10.661456658612448),8.038672578885102
17,POINT (106.75694203517068 10.676682636108405),4.269618547989271
18,POINT (106.77615036691134 10.88985432656251),2.1854124844927965
19,POINT (106.74128376189061 10.844230880083495),5.077595456606181
20,POINT (106.71881459998207 10.783338245677083),3.2528012451760855
21,POINT (106.65112007310199 10.712603184146417),9.96576147184549
22,POINT (106.80874498154641 10.862369004640763),9.151887045656617
23,POINT (106.84532200179645 10.841063316313058),5.130906835135325
24,POINT (106.84155081458937 10.8337985656788),3.6664752371420026
25,POINT (106.8465251406147 10.838034046808882),8.094235171589041
26,POINT (106.64945452298987 10.727501307816391),7.211812496769368
27,POINT (106.65360959573135 10.730422001373203),5.0917129303174455
28,POINT (106.6553220965273 10.733778248340785),4.447500737109491
29,POINT (106.65460304973462 10.72221602931438),7.192451867417943
30,POINT (106.64099027979701 10.729467422928215),3.022461978263473
31,POINT (106.69225573597454 10.78892862151977),6.855470659464478
32,POINT (106.70015870910001 10.784812550762998),2.6883847427634375
33,POINT (106.70541471110137 10.792344749402975),7.711812645438795
34,POINT (106.7039997872837 10.79380056639465),8.312700038644252
35,POINT (106.70615130781472 10.780721908113671),5.524923155854378
36,POINT (106.6915567468756 10.792532360122863),8.724487605324963
37,POINT (106.69874266684931 10.790376458424314),1.9708811836976006
38,POINT (106.70220346012073 10.789211819290694),7.425814739019882
39,POINT (106.70554164699989 10.78017535731443),5.438235764324542
40,POINT (106.70321319139045 10.783912307764428),2.7458118835908985
41,POINT (106.69624024122983 10.790079025332638),6.017252770496058
42,POINT (106.70548540392276 10.778001432238039),6.575043867597534
43,POINT (106.70215450783567 10.791512799223716),2.1406850461463347
44,POINT (106.70688446535578 10.793282923879488),4.470920106401947
45,POINT (106.70057401864723 10.8003723162159),4.397840334878507
46,POINT (106.71115332708537 10.789038102978642),2.591139091159638
47,POINT (106.6987444071628 10.7823489336607),3.8857105615158747
48,POINT (106.7040817879743 10.784993437026614),1.3131453812269882
49,POINT (106.70477725105219 10.786449504986386),2.9620017411540918
50,POINT (106.69607942248344 10.78787030695902),1.36791580991558
51,POINT (106.70036430776996 10.782630130864314),4.383933215888437
52,POINT (106.708881927904 10.788520195062043),6.153062206721632
53,POINT (106.70331338670292 10.785501577267537),2.5180645206933
54,POINT (106.69995642698011 10.791217768552935),7.257240931655896
55,POINT (106.69457022729092 10.791368755032085),3.813920832265221
56,POINT (106.69850904958363 10.792739973998819),3.701195726842313
57,POINT (106.70261775923372 10.787670683828303),5.5748727582187
58,POINT (106.69943702327974 10.787134997912267),7.171995258677857
59,POINT (106.70974196015297 10.776569685880432),1.2040559413714227
60,POINT (106.70190308046777 10.77442620662704),8.96638236204224
61,POINT (106.7053168178435 10.773034405722811),5.947408657230945
62,POINT (106.70712917241653 10.7828385758093),1.8008690632981397
63,POINT (106.69175305613426 10.775504243998592),3.550152612251587
64,POINT (106.69902508270398 10.78263493294756),1.3564515269807078
65,POINT (106.69613961978894 10.773777561435436),9.200849631580567
66,POINT (106.6966565821471 10.78146832858023),8.435145766753092
67,POINT (106.70081639370851 10.784761363889846),4.691499914253598
68,POINT (106.70924772885375 10.769772229161717),1.5190776655679497
69,POINT (106.70079023432338 10.775285320270912),3.078296239512129
70,POINT (106.69657138974286 10.772669548589706),3.4314493486217823
71,POINT (106.6995546091155 10.776258453356267),2.3866606073293952
72,POINT (106.69954157781203 10.777252052813706),3.075917455017773
73,POINT (106.69365843048296 10.785130356197362),1.3929217264326041
74,POINT (106.69445000759882 10.780299729979852),1.8434433336562779
75,POINT (106.7022546959144 10.776793408141117),5.311620002678365
76,POINT (106.69104346313325 10.784704475094445),7.702575257118298
77,POINT (106.6933503197302 10.777814812665248),2.8516787395371024
78,POINT (106.70149540209029 10.779086103083895),7.004485687760028
79,POINT (106.70579652794137 10.777223773714816),2.987975589153485
80,POINT (106.70044158350115 10.787329825291613),9.843177956855282
81,POINT (106.70033012399432 10.789720331812463),2.047876273035992
82,POINT (106.69929393629972 10.776802603983558),7.4963141973580765
83,POINT (106.69775441258766 10.779376460198849),6.5638668699013785
84,POINT (106.69711560847796 10.783580196773817),7.4012412242318
85,POINT (106.69280415719736 10.78000258649673),1.4058996593922652
86,POINT (106.68749127152284 10.774955377651565),4.869091849394464
87,POINT (106.70207524842206 10.78169532689395),6.877039901298979
88,POINT (106.69427669573821 10.776500977938516),5.792573626606932
89,POINT (106.70148793618647 10.778314291830126),4.529286204010077
90,POINT (106.70099336930329 10.775299032465933),1.9843049972030908
91,POINT (106.69799582390118 10.787547605653131),8.501749201444534
92,POINT (106.6981323623888 10.783593118899155),7.676165940530144
93,POINT (106.69402492227718 10.771739251742225),1.2008662747198007
94,POINT (106.68190247370624 10.756849050857907),8.940578092859454
95,POINT (106.6848680347688 10.757004225244408),7.630568653214775
96,POINT (106.68607710032121 10.758190460137294),3.7843360190026587
97,POINT (106.68623657954569 10.757715380228234),2.656814918782614
98,POINT (106.68370089863566 10.762530187562492),3.735024857721827
99,POINT (106.6906304806184 10.748582357874241),7.923994068858244
100,POINT (106.68086886132733 10.760864860506354),9.71561661447955
101,POINT (106.6763910612808 10.760454224174058),8.866007966889633
