element,id,name,centroid,geometry
way,165420596,Đài Truyền hình TP.HCM (HTV),POINT (106.70263078909974 10.78678239052512),"POLYGON ((686067.5834826357 1192908.1911965953, 686072.3334111938 1192913.5051504788, 686115.6173798402 1192959.5859855942, 686130.0698822199 1192974.467072306, 686143.5842805103 1192988.900476373, 686158.8764620214 1193006.1866634686, 686186.6564291958 1192980.6335864635, 686219.0540960075 1192950.7478705097, 686231.3950816878 1192940.1972129995, 686235.5510992814 1192944.1362249062, 686272.0948845409 1192910.1586289636, 686265.3029844505 1192902.3001202208, 686255.7665297203 1192910.0456167709, 686231.4808281285 1192885.4859702517, 686226.0708567789 1192890.688099683, 686207.4449982364 1192908.3939649104, 686206.6089473366 1192909.2631956332, 686142.7053299365 1192840.191716756, 686078.172402763 1192898.0179090642, 686074.1241308057 1192894.3671266646, 686067.5808836076 1192900.790836034, 686067.5834826357 1192908.1911965953))"
way,186275007,Sở Văn hoá và Thể thao,POINT (106.70051877624526 10.778807806694282),"POLYGON ((685908.0349401827 1192084.8933916413, 685926.144823628 1192071.5096160856, 685938.2253336636 1192060.6255193828, 685950.8249108879 1192074.4452875112, 685970.577630869 1192056.723370684, 685959.2231460316 1192043.2202392626, 685980.7349544987 1192023.859886284, 685964.9844093065 1192008.2527240515, 685969.8908611087 1192003.1362371817, 685952.2503489594 1191985.1624269306, 685884.7455762329 1192050.1296463457, 685885.3074509613 1192059.2476781695, 685908.0349401827 1192084.8933916413))"
way,186275014,Sở Ngoại vụ Thành phố Hồ Chí Minh,POINT (106.69702682364469 10.780294682987968),"POLYGON ((685510.12492028 1192197.651622264, 685566.3271285067 1192257.608126224, 685604.8487110054 1192221.9593776427, 685529.1296754372 1192141.1538468152, 685501.8986347792 1192166.334427658, 685518.0232403545 1192183.5363185883, 685518.084287409 1192190.2843359667, 685510.12492028 1192197.651622264))"
way,189017046,Phòng CS Điều tra Tội phạm về Trật tự xã hội,POINT (106.68751293297157 10.758446390542717),"POLYGON ((684531.708732524 1189819.0438433713, 684478.7753528713 1189760.2142463159, 684501.5799898277 1189740.5060088835, 684517.0455831272 1189758.5331304201, 684529.3745936393 1189750.2272250298, 684533.4930077016 1189755.150208275, 684536.6820033089 1189754.0505150917, 684561.1625265378 1189783.6314140137, 684565.8708311962 1189780.7370234965, 684569.7048578922 1189785.6584483574, 684531.708732524 1189819.0438433713))"
way,189067537,Công ty Điện lực Sài Gòn,POINT (106.68670458717594 10.754731820319998),"POLYGON ((684417.9213366807 1189417.000393558, 684447.415556404 1189386.2007847882, 684479.9944479404 1189337.476077532, 684453.6713503472 1189318.6703349785, 684444.2829682097 1189323.2867794519, 684395.1228462105 1189401.7206141306, 684417.9213366807 1189417.000393558))"
way,193824727,Đài Tiếng nói Việt Nam,POINT (106.70344004997489 10.788171150041022),"POLYGON ((686249.6446186262 1193104.0578687228, 686219.5963607782 1193071.4463145926, 686245.6158828121 1193047.7861206348, 686275.6641440997 1193080.3976983048, 686249.6446186262 1193104.0578687228))"
way,197647690,Trung tâm Kiểm soát Không lưu Tân Sơn Nhất,POINT (106.66174566095312 10.802669143550403),"POLYGON ((681849.1750101378 1194645.6851436286, 681830.8730983267 1194616.5709798608, 681768.4370969138 1194554.4412285825, 681763.7614081007 1194551.5065965166, 681723.3178093262 1194543.7094388579, 681708.6876152368 1194537.214158444, 681612.4837205717 1194510.6300703096, 681601.8893666224 1194518.149676469, 681581.9675928489 1194513.3734298483, 681578.8268285904 1194576.1418914273, 681569.9885587366 1194582.5095805903, 681564.6336683717 1194595.8871175672, 681560.9698004437 1194622.094214106, 681567.6089833104 1194648.0918191527, 681571.595912232 1194669.0973028883, 681564.2283106032 1194670.4842094542, 681579.7449106881 1194731.1970583138, 681593.5120773322 1194787.8076306717, 681602.1728685871 1194814.0817211121, 681605.5496341868 1194830.6371441167, 681612.9670482357 1194836.175073934, 681634.347492795 1194824.057199783, 681824.6300396875 1194670.5507668708, 681849.1750101378 1194645.6851436286))"
way,197647694,Chi cục Hải quan,POINT (106.66425068649154 10.810030841809116),"POLYGON ((681994.6377641386 1195494.669954773, 681991.0188027623 1195432.318070654, 681920.5753740849 1195439.2237932319, 681904.6818653612 1195449.911204388, 681912.1816881589 1195526.5979147842, 681925.3313024074 1195525.751450299, 681924.0616416781 1195499.8603779487, 681994.6377641386 1195494.669954773))"
way,197995330,Bảo tàng Không quân phía Nam,POINT (106.66063465709314 10.805160209928475),"POLYGON ((681616.0824522178 1194926.9523088327, 681583.6878821971 1194951.4214060341, 681589.0188105603 1194958.5408603845, 681554.7497643199 1194983.8294066556, 681545.2591015917 1194973.4241833538, 681508.765381837 1194975.4271152052, 681497.9195097655 1194914.5405613123, 681574.3629594515 1194880.344297078, 681580.7794019311 1194878.8969216538, 681587.4318032865 1194878.3025718646, 681594.2496777263 1194879.4568529925, 681600.3260732932 1194882.2220959316, 681604.4886925834 1194886.9901443745, 681616.0824522178 1194926.9523088327))"
way,198265283,Tổng công ty PETEC,POINT (106.6921529544272 10.782618034772046),"POLYGON ((685022.3142246781 1192478.7304927125, 685040.1224664852 1192462.4243575127, 685010.8867316229 1192430.9137829852, 684993.078553416 1192447.2088724114, 685022.3142246781 1192478.7304927125))"
