param_name,param_value,avg_runtime,std_runtime,avg_solution_quality,std_solution_quality,instance
m,5,7.111688,2.970052432554011,376.4648,9.877382912492559,C101_co_50.txt
m,25,25.68668,4.975791475936266,360.15340000000003,2.8777344040060444,C101_co_50.txt
m,50,43.82388,13.920216952224559,363.4382,7.092150428466666,C101_co_50.txt
m,75,63.94654,8.506638633032438,361.5458,2.9227312055678274,C101_co_50.txt
m,100,73.7116,9.353321692586011,359.59499999999997,2.916030778301212,C101_co_50.txt
I,5,13.295119999999999,3.3643757514582098,361.18219999999997,2.996033160697663,C101_co_50.txt
I,10,27.56362,5.651411481391176,371.462,9.307784403390517,C101_co_50.txt
I,15,43.330420000000004,11.325623868776502,364.6188,7.943008101468867,C101_co_50.txt
I,20,47.881840000000004,10.804223791786246,370.3296,19.05513994438246,C101_co_50.txt
LS,10,29.90544,8.66848965754704,369.13079999999997,14.303215764295798,C101_co_50.txt
LS,50,28.5477,5.667384673286259,370.7238,15.31092675836444,C101_co_50.txt
LS,100,30.89908,3.594195404676825,358.8302,2.7735677745459943,C101_co_50.txt
LS,150,32.01224,8.966150380904839,368.403,16.485873710543842,C101_co_50.txt
alpha,0.5,44.75324,17.483540881583455,630.7202,36.83042836704455,C101_co_50.txt
alpha,0.75,71.53382,15.536025996599,361.59159999999997,9.326148819314447,C101_co_50.txt
alpha,1.0,36.3267,11.920599756513932,358.0634,0.1802007214192039,C101_co_50.txt
alpha,1.25,28.174139999999998,7.110972695981894,361.9054,3.6715016410182932,C101_co_50.txt
alpha,1.5,23.12236,4.364175016311789,369.8068,10.576885349666982,C101_co_50.txt
beta,0.5,28.02178,5.125041639050361,364.0332,6.4408395182615905,C101_co_50.txt
beta,0.75,25.82404,5.576708574329484,373.9584,9.874722872060763,C101_co_50.txt
beta,1.0,27.78002,6.435008355627831,362.9848,6.551916948496831,C101_co_50.txt
beta,1.25,31.74358,5.003528360267382,365.3484,7.104339891925224,C101_co_50.txt
rho,0.15,40.63084,7.629288497822058,360.1876,3.390566811021424,C101_co_50.txt
rho,0.3,30.73064,4.248558422335746,360.4898,3.052449377139622,C101_co_50.txt
rho,0.45,26.9722,4.863233043973936,359.8892,2.1667381475388274,C101_co_50.txt
rho,0.6,24.1367,6.1480017212912355,366.5496,8.773179201406979,C101_co_50.txt
Q,0.5,30.7367,9.10699019105654,361.694,3.0114049046914966,C101_co_50.txt
Q,1.0,24.02338,1.9017199759691232,360.2946,3.202648325995218,C101_co_50.txt
Q,1.5,30.44504,3.596697489781424,361.3956,5.156527397386755,C101_co_50.txt
Q,2.0,28.6577,8.114171444762551,360.0778,2.547538360849568,C101_co_50.txt
Q,2.5,29.566219999999998,9.148013101050958,361.8874,5.980088736799816,C101_co_50.txt
Q,3.0,30.59786,3.287616795339748,361.982,3.35899888359612,C101_co_50.txt
t,10,23.19048,1.2582292962731387,361.2552,3.9596878286046806,C101_co_50.txt
t,40,30.63518,7.284167821515372,370.3778,11.75642493277611,C101_co_50.txt
t,70,26.54664,3.945863683403166,358.8934,2.5515090240875167,C101_co_50.txt
t,100,31.63878,9.077547699241245,360.618,3.3881474289056683,C101_co_50.txt
t,130,27.48424,10.057046182055643,360.175,3.658433339559445,C101_co_50.txt
