param_name,param_value,avg_runtime_dvt,avg_solution_quality_dvt,num_instances
m,10,-65.99973178464845,0.15262963717275538,3
m,20,-33.620336911260935,0.017535392266723297,3
m,30,0.0,0.0,3
m,40,33.910527196380556,-0.05082480361752578,3
I,5,-51.5818111924828,0.06843780904434046,3
I,10,0.0,0.0,3
I,15,55.23058724500715,7.761316009138874e-05,3
I,20,102.56174640118027,7.761316009138874e-05,3
alpha,0.75,19.459074964443893,-0.05082480361752578,3
alpha,1.0,5.041252343947095,-0.05082480361752578,3
alpha,1.25,0.0,0.0,3
alpha,1.5,-6.140300955805945,0.1271724125626945,3
alpha,1.75,-6.392495915470977,0.0687161486041295,3
beta,0.75,-1.8032717516921013,7.761316009138874e-05,3
beta,1.0,0.0,0.0,3
beta,1.25,-1.294806345117984,0.017639783242180285,3
beta,1.5,-3.127610259609846,0.0,3
beta,1.75,-1.7808872184883922,7.761316009138874e-05,3
rho,0.2,60.04838037546208,-0.05082480361752578,3
rho,0.4,20.267169796090602,-0.05082480361752578,3
rho,0.6,0.0,0.0,3
rho,0.8,-13.716665223147153,0.1271724125626945,3
Q,1.0,3.059791426731994,0.16120355454816154,3
Q,1.5,4.342598243576855,7.761316009138874e-05,3
Q,2.0,0.0,0.0,3
Q,2.5,1.4483115477591069,7.761316009138874e-05,3
Q,3.0,-5.276565408666271,0.1783821440056277,3
LS,10,2.571115509247029,0.13688739550436776,3
LS,30,-2.9067859388171557,0.0,3
LS,50,0.0,0.0,3
LS,70,-1.4442443454098561,-0.05082480361752578,3
LS,90,0.003878841788387044,0.0687161486041295,3
t,10,0.0,0.0,3
t,20,4.838766660171118,-0.05082480361752578,3
t,30,-4.423343315037905,-0.05082480361752578,3
t,40,-5.978914921434901,-0.05082480361752578,3
t,50,-5.5726520024890025,-0.05082480361752578,3
p,64,0.0,0.0,3
p,64,0.0,0.0,3
