iter,best_objective
0,1.79769e+308
1,374.664
2,374.664
3,374.664
4,374.664
5,328.484
6,328.484
7,328.484
8,328.484
9,328.484
10,328.484
11,328.484
12,328.484
13,328.484
14,328.484
15,328.484
16,328.484
17,300.173
18,298.919
19,281.828
20,281.828
21,270.625
22,270.595
23,270.595
24,270.595
25,270.595
26,257.333
27,257.333
28,257.333
29,257.333
30,257.333
31,257.333
32,247.457
33,247.457
34,247.457
35,247.457
36,246.562
37,246.562
38,246.562
39,246.562
40,230.386
41,230.386
42,230.386
43,230.386
44,230.386
45,223.866
46,223.866
47,223.866
48,223.866
49,223.866
50,223.866
51,223.866
52,210.356
53,210.356
54,210.356
55,210.356
56,210.356
57,210.356
58,210.356
59,210.356
60,210.356
61,210.356
62,210.356
63,210.356
64,210.356
65,210.356
66,210.356
67,210.356
