instance_name,Num Vehicles,Best Distance,AVG Distance,Std Distance,AVG Runtime (s),Std Runtime (s)
C101_co_100.txt,10,850.659,860.148,7.75645,297.462,81.2849
C102_co_100.txt,10,1056.7,1094.61,23.5507,321.838,108.896
C103_co_100.txt,10,875.746,888.092,9.06523,387.542,137.796
C104_co_100.txt,10,727.236,752.905,23.3127,284.48,88.8665
C105_co_100.txt,10,991.799,1010.49,10.0809,282.599,42.4225
C106_co_100.txt,10,943.538,979.079,27.096,271.819,57.5408
C107_co_100.txt,10,1115,1126.6,10.8701,236.801,63.4247
C108_co_100.txt,10,866.4,873.252,4.12607,333.771,80.5027
C109_co_100.txt,10,836.203,852.433,9.37428,327.487,84.915
C201_co_100.txt,3,605.581,612.713,11.7873,194.44,26.5346
C202_co_100.txt,3,503.742,521.721,16.6605,308.253,43.4747
C203_co_100.txt,3,594.087,618.448,12.6551,222.685,66.2846
C204_co_100.txt,3,525.324,543.705,20.0173,376.51,217.535
C205_co_100.txt,3,500.552,508.264,5.95949,303.842,44.885
C206_co_100.txt,4,631.817,663.082,17.6065,260.836,63.934
C207_co_100.txt,3,478.267,498.981,17.4446,265.029,84.583
C208_co_100.txt,3,555.317,591.51,29.9621,336.397,154.769
R101_co_100.txt,10,798.9,804.629,5.58598,289.887,50.1837
R102_co_100.txt,9,753.601,762.946,7.5496,332.205,62.1129
R103_co_100.txt,10,766.631,775.103,8.22272,374.437,121.397
R104_co_100.txt,8,746.628,762.601,10.8565,349.424,126.917
R105_co_100.txt,10,772.453,784.708,8.26226,287.957,41.8942
R106_co_100.txt,9,782.775,799.036,13.7378,364.643,157.003
R107_co_100.txt,8,770.406,779.204,10.6791,336.739,94.1355
R108_co_100.txt,8,600.487,615.961,19.3287,420.132,97.7203
R109_co_100.txt,8,749.592,759.536,9.78493,359.482,68.0844
R110_co_100.txt,8,734.558,762.324,15.7108,309.251,101.666
R111_co_100.txt,8,812.171,823.329,9.61958,295.19,76.9803
R112_co_100.txt,8,757.915,770.218,7.44847,278.063,30.8419
R201_co_100.txt,5,780.507,794.08,7.54192,280.565,41.3727
R202_co_100.txt,4,669.011,698.546,20.3182,236.971,61.2211
R203_co_100.txt,4,664.36,694.845,15.3397,285.583,37.503
R204_co_100.txt,2,435.552,448.779,9.88264,353.328,29.37
R205_co_100.txt,3,553.679,575.5,18.7517,296.104,72.9018
R206_co_100.txt,2,575.576,612.946,21.8495,296.343,134.763
R207_co_100.txt,2,525.787,570.059,42.5781,452.064,158.344
R208_co_100.txt,2,409.384,427.076,12.4391,406.209,259.292
R209_co_100.txt,3,479.653,509.198,23.0668,267.155,76.3577
R210_co_100.txt,3,661.717,673.947,7.38594,288.291,63.1851
R211_co_100.txt,2,466.32,476.334,7.71211,367.883,70.5802
RC101_co_100.txt,11,1038.16,1070.72,26.666,238.349,69.2928
RC102_co_100.txt,10,1049.34,1066.12,10.2904,430.266,87.5328
RC103_co_100.txt,10,1063.19,1085.28,17.281,403.433,89.3714
RC104_co_100.txt,9,923.236,943.025,10.7554,391.408,104.754
RC105_co_100.txt,10,1078.47,1139.49,49.8744,315.515,103.674
RC106_co_100.txt,11,917.404,933.439,10.8992,325.39,83.9094
RC107_co_100.txt,9,826.331,839.158,13.0913,295.767,41.976
RC108_co_100.txt,9,997.957,1017.56,12.5033,317.367,106.248
RC201_co_100.txt,5,782.206,815.926,17.791,337.112,83.7878
RC202_co_100.txt,3,677.066,707.766,27.1861,357.438,158.159
RC203_co_100.txt,3,735.26,779.632,26.2122,343.231,95.6745
RC204_co_100.txt,2,519.709,531.5,9.36076,409.281,135.785
RC205_co_100.txt,5,833.823,849.08,19.7235,315.632,132.751
RC206_co_100.txt,3,640.607,688.88,24.7878,280.635,89.5345
RC207_co_100.txt,2,672.64,709.818,20.2525,378.149,55.103
RC208_co_100.txt,2,495.394,510.707,17.0023,386.278,96.62
