instance_name,Num Vehicles,Best Distance,AVG Distance,Std Distance,AVG Runtime (s),Std Runtime (s)
C101_co_100.txt,11,949.209,966.561,19.7116,418.762,3.25378
C102_co_100.txt,10,1079.29,1193.28,67.1404,400.52,3.11983
C103_co_100.txt,11,978.227,1027.96,40.3839,398.608,2.02283
C104_co_100.txt,10,745.337,792.332,31.7656,397.119,1.74847
C105_co_100.txt,10,1063.28,1122.53,35.8823,408.296,2.76599
C106_co_100.txt,11,984.971,1015.19,18.0014,409.922,4.00646
C107_co_100.txt,10,1115.49,1146.43,27.1576,400.756,3.25032
C108_co_100.txt,10,854.355,897.222,27.8499,422.792,7.46658
C109_co_100.txt,10,848.243,865.7,17.0486,400.215,6.443
C201_co_100.txt,6,713.293,775.239,75.0719,390.828,3.61242
C202_co_100.txt,4,557.67,597.245,35.4859,388.962,5.14604
C203_co_100.txt,4,627.163,653.082,15.7216,384.085,2.53363
C204_co_100.txt,3,591.619,648.068,49.6709,381.329,2.20419
C205_co_100.txt,5,588.499,610.08,22.9225,388.907,2.3614
C206_co_100.txt,4,751.506,819.407,57.9744,381.871,3.03394
C207_co_100.txt,5,551.234,660.062,81.9283,380.849,3.40843
C208_co_100.txt,5,650.097,696.974,28.6775,384.145,2.83472
R101_co_100.txt,10,753.705,808.417,33.7247,417.219,4.21266
R102_co_100.txt,10,752.406,786.639,23.1474,411.379,1.81765
R103_co_100.txt,9,749.908,791.167,25.3573,411.405,4.28099
R104_co_100.txt,8,716.94,753.36,21.1776,387.056,2.75781
R105_co_100.txt,9,748.381,791.859,28.1657,411.536,1.83561
R106_co_100.txt,9,736.079,764.773,34.4682,410.128,1.72316
R107_co_100.txt,9,771.529,787.942,12.5166,396.315,6.17089
R108_co_100.txt,8,642.232,683.687,35.7453,396.415,3.59227
R109_co_100.txt,9,746.816,760.864,12.2656,403.511,3.51224
R110_co_100.txt,8,680.387,722.734,30.3417,393.615,5.47592
R111_co_100.txt,9,775.247,813.307,30.0489,394.898,2.08264
R112_co_100.txt,8,768.798,789.633,12.4583,382.767,1.39012
R201_co_100.txt,7,804.048,848.885,36.7595,396.801,2.34154
R202_co_100.txt,7,742.53,772.141,35.7232,386.096,1.57746
R203_co_100.txt,4,631.698,659.082,18.0351,382.567,1.81899
R204_co_100.txt,2,445.804,506.667,37.9822,377.022,1.16053
R205_co_100.txt,4,595.981,637.655,24.7096,391.174,3.05033
R206_co_100.txt,4,651.311,670.673,17.194,384.14,5.01489
R207_co_100.txt,3,577.153,628.546,31.1457,386.192,4.92703
R208_co_100.txt,3,446.173,467.716,16.7649,381.543,7.3308
R209_co_100.txt,4,519.259,557.425,22.4571,384.45,5.07082
R210_co_100.txt,5,668.914,683.862,10.7097,387.384,3.0202
R211_co_100.txt,3,483.299,505.734,16.0928,382.077,3.67899
RC101_co_100.txt,12,1078.4,1113.2,24.22,418.816,3.75238
RC102_co_100.txt,11,1022.93,1045.91,33.2157,414.638,1.13934
RC103_co_100.txt,11,1139.31,1186.92,39.6963,402.526,4.46285
RC104_co_100.txt,10,939.124,968.358,21.5159,397.432,1.21183
RC105_co_100.txt,11,1107.08,1158.83,32.2722,410.278,3.72385
RC106_co_100.txt,10,936.637,969.62,27.7012,415.661,2.90232
RC107_co_100.txt,9,852.129,874.545,33.9834,406.009,4.13811
RC108_co_100.txt,10,992.53,1031.39,35.0995,391.477,1.85249
RC201_co_100.txt,6,773.982,900.291,92.215,404,4.70039
RC202_co_100.txt,5,807.748,861.848,33.8565,405.474,6.53289
RC203_co_100.txt,6,855.443,880.768,23.0181,385.963,7.99449
RC204_co_100.txt,3,532.668,567.74,25.6673,384.421,5.74234
RC205_co_100.txt,6,855.754,904.226,46.6479,397.226,3.96768
RC206_co_100.txt,6,647.034,714.682,47.0581,390.97,3.59961
RC207_co_100.txt,4,806.264,853.588,32.5542,379.074,3.05728
RC208_co_100.txt,2,515.148,556.686,33.0723,372.639,4.36158
