instance_name,Num Vehicles,Best Distance,AVG Distance,Std Distance,AVG Runtime (s),Std Runtime (s)
C101_co_100.txt,11,1249.66,1272.41,21.2744,450.611,0.170028
C102_co_100.txt,10,1259.19,1303.85,34.8513,447.889,9.86042
C103_co_100.txt,9,991.081,1007.53,11.6365,607.386,130.9
C104_co_100.txt,10,858.958,864.416,7.17865,808.789,8.87758
C105_co_100.txt,10,1237.63,1260.19,16.5118,764.259,24.8026
C106_co_100.txt,11,1152.19,1168.44,12.886,769.661,18.2255
C107_co_100.txt,10,1355.16,1356.03,0.734943,768.887,1.36594
C108_co_100.txt,10,930.467,942.938,9.44046,774.891,0.636587
C109_co_100.txt,9,980.159,995.339,12.3208,772.583,9.87146
C201_co_100.txt,7,923.167,931.477,8.39498,720.813,17.6687
C202_co_100.txt,5,715.718,797.593,61.9147,749.124,22.4959
C203_co_100.txt,4,694.627,729.114,24.9687,769.105,6.02195
C204_co_100.txt,5,728.674,754.35,34.4945,768.646,28.9172
C205_co_100.txt,6,734.279,784,41.1263,769.411,9.90199
C206_co_100.txt,6,946.246,957.109,14.6337,711.315,9.02505
C207_co_100.txt,4,629.703,661.307,25.5234,719.26,12.4152
C208_co_100.txt,5,755.309,767.961,16.373,708.882,24.778
R101_co_100.txt,14,1086.35,1120.23,24.3689,871.214,28.5528
R102_co_100.txt,12,895.842,910.597,10.4607,770.03,21.0227
R103_co_100.txt,11,893.955,908.752,10.7227,792.687,43.5888
R104_co_100.txt,10,924.665,935.061,7.4679,752.002,11.694
R105_co_100.txt,12,1021.48,1031.8,7.74799,844.404,11.9585
R106_co_100.txt,9,832.418,853.138,22.4817,741.796,6.81314
R107_co_100.txt,10,910.906,942.022,22.1311,794.858,27.8767
R108_co_100.txt,8,690.369,696.186,4.87816,771.839,36.2348
R109_co_100.txt,10,871.382,875.419,3.24844,707.602,5.95353
R110_co_100.txt,8,828.701,847.7,17.563,772.148,25.0314
R111_co_100.txt,11,1070.04,1077.91,9.52625,805.067,5.47387
R112_co_100.txt,8,799.897,831.217,22.3446,733.781,13.1656
R201_co_100.txt,8,1041.32,1056.87,11.1973,742.306,22.4086
R202_co_100.txt,8,943.646,961.073,12.3738,737.349,18.0637
R203_co_100.txt,7,885.435,890.826,4.36005,729.886,23.4768
R204_co_100.txt,3,539.142,552.638,9.733,735.049,27.751
R205_co_100.txt,5,754.062,782.538,22.3732,710.856,28.7113
R206_co_100.txt,5,729.835,736.233,6.19508,682.59,18.6202
R207_co_100.txt,3,665.41,701.053,25.4846,725.474,17.6413
R208_co_100.txt,2,465.465,491.494,18.479,750.185,21.8739
R209_co_100.txt,5,628.198,636.844,7.86678,726.406,17.2389
R210_co_100.txt,4,801.318,803.915,1.8378,754.926,7.36825
R211_co_100.txt,3,564.593,567.579,3.8326,743.157,30.1215
RC101_co_100.txt,14,1382.73,1387.83,5.50388,837.448,9.60374
RC102_co_100.txt,13,1337.88,1372.9,24.767,809.014,9.94526
RC103_co_100.txt,10,1247.45,1270.46,30.6408,783.917,22.5258
RC104_co_100.txt,9,1018.73,1031.66,11.401,784.34,12.6448
RC105_co_100.txt,12,1418.12,1439.9,22.1603,784.411,8.95442
RC106_co_100.txt,11,1133.19,1153.24,14.1873,755.618,44.5973
RC107_co_100.txt,10,950.116,971.263,15.2114,774.939,29.2598
RC108_co_100.txt,9,1201.35,1218.97,12.7856,783.18,14.2036
RC201_co_100.txt,8,1137.46,1154.08,13.4285,681.829,123.478
RC202_co_100.txt,9,1098.99,1108.58,8.70091,428.089,0.258877
RC203_co_100.txt,6,1041.88,1069.81,19.7631,416.037,0.688319
RC204_co_100.txt,3,579.089,589.335,10.2206,410.617,0.214373
RC205_co_100.txt,8,1192.81,1218.15,18.2496,414.121,0.333439
RC206_co_100.txt,5,858.619,880.92,26.1944,404.366,0.664185
RC207_co_100.txt,3,800.921,826.867,18.4515,402.575,0.412263
RC208_co_100.txt,3,607.148,611.731,3.90511,403.177,0.286102
