instance_name,Num Vehicles,Best Distance,AVG Distance,Std Distance,AVG Runtime (s),Std Runtime (s)
C101_co_50.txt,5,380.863,408.439,17.4421,41.3357,1.40503
C201_co_50.txt,2,285.652,306.329,25.4437,41.0269,0.716391
C104_co_50.txt,5,356.326,361.703,3.70546,43.8862,1.56136
C203_co_50.txt,2,273.563,276.563,1.66376,44.7044,0.323433
C206_co_50.txt,2,266.966,276.855,13.6598,42.8719,0.97818
C208_co_50.txt,3,300.27,305.711,4.95466,41.2263,0.9075
C102_co_50.txt,5,366.472,380.832,10.3884,42.8323,0.286046
C204_co_50.txt,2,276.003,321.204,38.3636,43.1967,1.48193
C207_co_50.txt,3,309.855,309.855,0,41.9559,0.26877
C109_co_50.txt,5,356.035,375.143,19.217,39.8325,0.16907
C205_co_50.txt,2,315.273,328.664,12.9189,42.0123,1.36219
C106_co_50.txt,5,363.501,373.547,11.722,41.7441,1.47083
C105_co_50.txt,6,412.072,430.577,13.8656,38.7926,1.49014
C103_co_50.txt,5,316.837,328.096,9.70166,42.7806,1.44631
C107_co_50.txt,5,333.23,340.798,9.16637,42.2711,1.03035
C202_co_50.txt,2,253.029,260.173,5.00832,42.569,0.527912
C108_co_50.txt,5,343.663,354.431,11.2831,40.2956,1.18941
R206_co_50.txt,2,426.407,476.015,32.0861,40.1734,1.92023
R105_co_50.txt,5,456.449,470.385,9.7025,40.9988,1.36064
R205_co_50.txt,2,438.505,455.152,14.5679,37.6193,0.166024
R106_co_50.txt,4,444.786,463.25,14.2885,40.8094,1.34624
R109_co_50.txt,5,546.867,554.319,10.0309,37.4433,0.171478
R208_co_50.txt,1,248.161,255.686,8.0856,44.6961,0.158026
R203_co_50.txt,3,333.541,360.933,17.9041,43.0002,1.29955
R112_co_50.txt,4,373.958,405.835,24.6479,41.5404,1.35849
R102_co_50.txt,5,468.437,487.87,18.6506,39.7361,1.32008
R201_co_50.txt,4,445.977,473.758,23.6907,38.8783,1.88485
R108_co_50.txt,4,447.528,509.308,31.0915,40.4042,1.24452
R110_co_50.txt,4,377.473,415.335,30.7977,41.495,1.63278
R209_co_50.txt,2,388.537,404.462,10.88,42.2604,0.508447
R204_co_50.txt,2,308.445,312.468,3.72763,44.7367,0.199018
R104_co_50.txt,4,387.267,427.058,24.4599,40.3246,0.863985
R207_co_50.txt,2,322.866,336.041,6.76723,43.4157,0.344598
R210_co_50.txt,2,344.955,363.305,14.0382,42.4205,0.27209
R211_co_50.txt,2,325.824,404.693,41.5013,40.4819,1.24099
R202_co_50.txt,2,360.005,374.473,12.7755,42.446,1.08308
R107_co_50.txt,4,391.095,423.44,16.5603,39.7893,1.28256
R111_co_50.txt,4,389.544,406.305,12.3936,40.7443,1.13573
R101_co_50.txt,6,464.102,473.376,11.8956,38.6775,0.863526
R103_co_50.txt,5,404.804,416.546,14.8626,41.0209,1.21561
RC203_co_50.txt,2,462.365,476.043,9.08541,42.8857,0.232226
RC201_co_50.txt,4,622.344,674.668,43.291,35.9425,0.523533
RC206_co_50.txt,3,466.817,532.494,36.4543,41.2318,1.37052
RC207_co_50.txt,1,353.055,371.695,29.213,43.2975,1.14858
RC208_co_50.txt,1,251.173,251.805,1.26488,44.7884,0.105849
RC102_co_50.txt,6,619.52,634.261,15.5099,38.6222,1.01221
RC103_co_50.txt,5,484.355,519.992,26.7772,43.5551,1.12232
RC205_co_50.txt,2,562.916,595.441,27.623,38.4953,0.757421
RC105_co_50.txt,6,545.609,581.214,29.0404,41.1234,1.39649
RC108_co_50.txt,6,570.627,578.6,7.38885,41.9252,1.51464
RC104_co_50.txt,5,554.667,573.979,13.8298,41.3899,1.22702
RC204_co_50.txt,1,329.306,329.387,0.163005,44.6889,0.108224
RC107_co_50.txt,5,604.438,622.851,9.96009,39.5469,0.110456
RC101_co_50.txt,6,630.686,641.483,6.17686,39.7464,1.22336
RC106_co_50.txt,6,635.131,649.823,10.7828,40.1278,1.04547
RC202_co_50.txt,3,453.875,504.472,40.9349,41.2394,1.07974
