instance_name,Num Vehicles,Best Distance,AVG Distance,Std Distance,AVG Runtime (s),Std Runtime (s)
C101_co_50.txt,7,496.661,507.178,14.3204,195.242,1.8533
C102_co_50.txt,8,442.048,461.256,15.4678,205.031,2.54032
C103_co_50.txt,6,328.957,336.071,9.47338,204.326,0.267605
C104_co_50.txt,5,392.581,401.994,7.10304,202.149,0.924496
C105_co_50.txt,7,522.774,532.309,6.96421,182.779,0.958905
C106_co_50.txt,6,408.454,420.846,9.07864,197.978,0.962856
C107_co_50.txt,6,381.945,391.148,6.73663,193.197,2.28304
C108_co_50.txt,6,416.898,419.537,1.88912,197.929,1.24628
C109_co_50.txt,6,407.171,423.746,17.0846,197.61,0.969723
C201_co_50.txt,5,441.294,459.38,12.9308,196.358,0.941422
C202_co_50.txt,5,331.571,359.673,21.3842,190.597,1.0764
C203_co_50.txt,3,320.865,324.311,2.54793,177.813,1.02413
C204_co_50.txt,2,418.798,446.595,20.0872,193.014,0.818021
C205_co_50.txt,4,356.841,371.924,10.7061,187.575,0.835717
C206_co_50.txt,5,284.871,299.891,14.2189,187.547,3.77483
C207_co_50.txt,5,423.102,427.095,5.41299,172.5,1.20328
C208_co_50.txt,4,363.294,367.362,3.58642,168.537,0.381409
R101_co_50.txt,9,529.407,548.865,17.3709,215.939,2.28031
R102_co_50.txt,7,540.458,543.419,3.39627,201.95,1.58041
R103_co_50.txt,6,410.754,417.765,7.62929,202.152,0.856609
R104_co_50.txt,7,452.594,459.414,8.5449,207.013,2.30032
R105_co_50.txt,11,487.424,500.242,13.2615,213.773,4.15469
R106_co_50.txt,7,563.09,583.228,21.8258,201.076,2.28698
R107_co_50.txt,7,493.144,496.306,3.3144,213.469,1.96026
R108_co_50.txt,6,548.855,561.842,14.3334,196.619,0.511373
R109_co_50.txt,8,650.155,684.142,24.0363,188.595,0.825664
R110_co_50.txt,7,459.545,473.394,10.394,197.134,1.23449
R111_co_50.txt,6,450.045,454.59,3.9381,195.188,1.12891
R112_co_50.txt,5,418.277,424.373,6.2633,192.636,1.16236
R201_co_50.txt,7,555.467,567.656,11.7012,193.13,1.2175
R202_co_50.txt,5,430.288,447.82,16.2498,187.215,4.15584
R203_co_50.txt,6,402.226,406.728,5.24646,191.361,2.05316
R204_co_50.txt,4,379.516,385.852,4.48843,176.58,1.26905
R205_co_50.txt,4,480.164,494.09,13.1729,164.984,0.0833288
R206_co_50.txt,5,548.182,555.615,6.75754,179.411,1.41791
R207_co_50.txt,3,434.295,448.876,11.9046,173.892,4.23771
R208_co_50.txt,2,299.787,307.187,6.49392,173.314,0.530309
R209_co_50.txt,4,539.048,545.032,4.29967,169.166,1.21506
R210_co_50.txt,6,501.719,512.548,8.35271,190.934,1.78548
R211_co_50.txt,3,375.662,385.895,7.63561,156.777,0.55659
RC101_co_50.txt,8,859.086,873.773,18.4221,190.97,0.705479
RC102_co_50.txt,9,810.199,865.592,42.5415,207.628,0.894735
RC103_co_50.txt,7,558.954,574.27,11.8792,206.21,1.73267
RC104_co_50.txt,6,605.061,615.966,9.64183,203.927,0.980934
RC105_co_50.txt,7,663.422,692.158,28.4139,201.065,2.00626
RC106_co_50.txt,7,763.096,792.443,23.2318,198.181,1.16119
RC107_co_50.txt,7,680.133,707.505,21.2998,198.43,2.56374
RC108_co_50.txt,7,626.934,653.352,21.6905,198.242,0.319365
RC201_co_50.txt,6,904.667,979.052,53.2116,184.172,0.849944
RC202_co_50.txt,5,658.764,706.845,42.1938,194.33,1.34943
RC203_co_50.txt,6,603.601,625.211,27.2187,200.351,1.25952
RC204_co_50.txt,3,416.529,430.478,10.4151,179.382,0.699949
RC205_co_50.txt,5,684.321,714.731,23.5819,188.373,3.92383
RC206_co_50.txt,6,549.317,579.674,21.5202,178.587,2.05349
RC207_co_50.txt,3,432.829,451.58,13.6739,176.175,1.31537
RC208_co_50.txt,2,276.028,288.226,16.2501,170.323,0.736499
