instance_name,Num Vehicles,Best Distance,AVG Distance,Std Distance,AVG Runtime (s),Std Runtime (s)
C101_co_25.txt,3,199.292,200.138,0.439783,2.74162,0.526975
C102_co_25.txt,3,145.136,146.494,0.750317,3.40242,1.26137
C103_co_25.txt,3,207.383,207.685,0.151012,3.1297,0.41239
C104_co_25.txt,3,192.456,195.339,2.22755,3.13682,0.525685
C105_co_25.txt,3,208.556,210.595,2.29629,3.15636,0.351619
C106_co_25.txt,3,210.332,211.604,1.40945,3.49661,0.678709
C107_co_25.txt,3,209.58,212.751,2.36339,2.84141,0.219148
C108_co_25.txt,3,159.72,160.995,1.58425,2.6929,0.214429
C109_co_25.txt,3,141.841,142.111,0.134644,2.71987,0.443157
C201_co_25.txt,2,219.336,222.269,2.38394,2.59595,0.0793847
C202_co_25.txt,1,119.869,124.78,4.1149,4.46528,0.985177
C203_co_25.txt,1,146.856,146.856,0,2.75344,0.191199
C204_co_25.txt,1,154.377,155.648,1.03633,3.2999,0.148612
C205_co_25.txt,1,176.02,179.591,4.13505,2.35464,0.184668
C206_co_25.txt,1,172.643,174.623,0.990176,3.15414,0.280651
C207_co_25.txt,1,130.445,131.896,1.89085,3.00701,0.509326
C208_co_25.txt,1,162.554,162.554,0,2.28247,0.123085
R101_co_25.txt,2,211.411,220.066,7.00421,2.94973,0.251816
R102_co_25.txt,2,205.542,205.542,0,3.22982,0.515055
R103_co_25.txt,2,217.422,219.043,1.32376,2.97085,0.488066
R104_co_25.txt,2,225.801,229.495,3.03829,2.22902,0.245462
R105_co_25.txt,2,210.464,214.525,2.03051,3.2228,0.376756
R106_co_25.txt,2,190.824,191.689,0.706167,2.93946,0.253818
R107_co_25.txt,3,245.75,252.268,8.9713,2.45673,0.304121
R108_co_25.txt,2,243.287,244.849,0.781209,2.94627,0.197675
R109_co_25.txt,2,275.317,275.468,0.183827,2.66952,0.201
R110_co_25.txt,3,246.597,251.365,4.70021,2.48481,0.148311
R111_co_25.txt,2,240.494,241.51,2.0323,2.49537,0.26977
R112_co_25.txt,2,208.383,208.383,0,2.49691,0.107829
R201_co_25.txt,2,326.617,328.515,2.32471,2.78047,0.228704
R202_co_25.txt,2,283.45,284.896,2.89282,2.27602,0.271403
R203_co_25.txt,1,186.831,197.478,8.32261,2.4485,0.259448
R204_co_25.txt,1,154.568,173.285,11.0259,2.5273,0.162702
R205_co_25.txt,1,222.295,228.625,3.22246,2.57632,0.166504
R206_co_25.txt,1,196.137,197.224,0.543365,3.12521,0.219158
R207_co_25.txt,1,198.279,200.324,2.50484,2.693,0.208631
R208_co_25.txt,1,164.087,164.631,0.271892,2.70968,0.271908
R209_co_25.txt,1,242.979,244.585,1.96594,3.03658,0.354058
R210_co_25.txt,1,282.997,285.418,4.84317,3.15701,0.233265
R211_co_25.txt,1,131.778,134.775,1.74625,2.33571,0.0765427
RC101_co_25.txt,3,313.346,313.395,0.0992031,3.14506,0.245288
RC102_co_25.txt,3,285.974,293.827,4.87754,2.78648,0.396016
RC103_co_25.txt,3,239.882,240.392,1.0206,2.48825,0.133628
RC104_co_25.txt,3,311.698,314.163,1.48349,3.04315,0.33772
RC105_co_25.txt,3,327.771,335.425,3.82718,3.19246,0.485367
RC106_co_25.txt,3,279.417,280.742,0.867173,2.82399,0.530721
RC107_co_25.txt,3,309.55,310.428,1.07458,2.71874,0.344829
RC108_co_25.txt,3,300.564,300.564,0,2.73317,0.345513
RC201_co_25.txt,2,303.943,303.943,0,2.24349,0.156926
RC202_co_25.txt,2,345.559,348.951,3.73153,2.0919,0.134178
RC203_co_25.txt,1,208.392,210.344,3.90449,2.66913,0.4116
RC204_co_25.txt,1,175.927,176.066,0.277038,3.05354,0.349417
RC205_co_25.txt,3,317.617,317.617,0,2.00096,0.114574
RC206_co_25.txt,2,250.702,252.876,1.20945,2.19541,0.16996
RC207_co_25.txt,1,284.04,286.223,1.29313,3.37011,0.266836
RC208_co_25.txt,1,182.773,186.925,5.90487,2.76498,0.411283
