instance_name,Num Vehicles,Best Distance,AVG Distance,Std Distance,AVG Runtime (s),Std Runtime (s)
C101_co_25.txt,3,203.196,203.196,0,5.98503,0
C102_co_25.txt,3,150.525,150.525,0,5.86292,0
C101_co_25.txt,3,202.623,206.143,3.37027,5.99574,0.0293509
C103_co_25.txt,3,185.865,188.97,2.39027,5.75193,0.0177263
C104_co_25.txt,3,193.819,202.28,5.98283,5.74031,0.0326243
C105_co_25.txt,3,203.698,205.341,1.16773,5.88338,0.00476439
C106_co_25.txt,3,189.449,200.357,7.7278,5.915,0.0102524
C107_co_25.txt,3,193.698,203.251,7.47306,5.84243,0.0103276
C108_co_25.txt,3,157.939,168.733,9.84476,5.81857,0.0547782
C109_co_25.txt,3,142.342,156.083,9.73138,5.84081,0.0255634
C201_co_25.txt,3,222.961,242.023,15.0157,5.92053,0.0509987
C202_co_25.txt,1,119.869,125.128,4.11566,5.79147,0.0465639
C203_co_25.txt,1,146.856,155.944,12.8514,5.69256,0.128395
C204_co_25.txt,1,146.322,146.489,0.117699,5.48236,0.0331376
C205_co_25.txt,2,178.842,192.645,10.649,5.57127,0.0467107
C206_co_25.txt,2,171.73,172.423,0.980235,5.64052,0.0490959
C207_co_25.txt,1,136.164,141.08,3.53492,5.65573,0.0945384
C208_co_25.txt,1,170.57,175.364,4.15062,5.83533,0.0455865
R101_co_25.txt,3,260.536,281.121,14.5617,6.01425,0.0256353
R102_co_25.txt,2,199.725,210.142,14.7322,5.97679,0.0399549
R103_co_25.txt,2,197.986,213.845,16.5478,5.78784,0.0132874
R104_co_25.txt,2,249.278,250.008,0.65487,5.65167,0.00810682
R105_co_25.txt,3,202.361,226.559,17.1994,6.10867,0.049471
R106_co_25.txt,2,224.03,242.374,15.3971,5.74783,0.0101248
R107_co_25.txt,3,240.761,250.283,12.0175,5.75976,0.0474433
R108_co_25.txt,2,251.529,269.979,13.2066,5.47085,0.0586331
R109_co_25.txt,3,281.728,289.656,6.02152,5.84307,0.00840716
R110_co_25.txt,2,249.137,249.985,0.732842,5.73019,0.0117131
R111_co_25.txt,2,237.169,239.783,2.21198,5.78102,0.0233912
R112_co_25.txt,2,206.019,225.346,15.5058,5.65108,0.0123212
R201_co_25.txt,3,305.194,315.544,14.3666,5.85231,0.0218161
R202_co_25.txt,2,284.194,317.104,24.1619,5.67421,0.0325844
R203_co_25.txt,2,186.01,259.139,51.8141,5.54354,0.0475069
R204_co_25.txt,1,156.006,189.698,25.1077,5.60692,0.0124609
R205_co_25.txt,2,253.173,281.809,20.7371,5.5559,0.051314
R206_co_25.txt,1,191.903,193.314,1.99589,5.6107,0.00419071
R207_co_25.txt,1,200.043,212.54,11.1463,5.53879,0.0491963
R208_co_25.txt,1,164.016,170.411,9.04332,5.81163,0.00793492
R209_co_25.txt,1,243.123,271.088,21.0758,5.45851,0.0171649
R210_co_25.txt,2,279.627,286.496,8.09681,5.6579,0.0286364
R211_co_25.txt,1,155.867,172.909,15.6555,5.52998,0.00989368
RC101_co_25.txt,3,317.344,346.368,23.9836,6.00205,0.0609505
RC102_co_25.txt,3,317.6,336.31,14.8582,6.05123,0.0121359
RC103_co_25.txt,3,227.586,240.682,10.9694,5.97961,0.0528774
RC104_co_25.txt,3,319.722,323.363,2.75386,5.87549,0.0295541
RC105_co_25.txt,3,328.785,348.121,13.9108,5.98002,0.0293516
RC106_co_25.txt,4,288.712,294.004,6.34161,5.91947,0.0302907
RC107_co_25.txt,3,301.985,305.625,3.22178,5.73258,0.0390102
RC108_co_25.txt,3,289.563,294.997,3.85149,5.7142,0.0295978
RC201_co_25.txt,2,294.466,311.452,17.402,5.86874,0.0364868
RC202_co_25.txt,3,322.33,329.284,6.80642,5.57814,0.0276832
RC203_co_25.txt,1,208.392,244.951,26.1033,5.47825,0.0434452
RC204_co_25.txt,1,176.096,177.845,1.70427,5.76057,0.0398724
RC205_co_25.txt,3,296.379,310.121,14.856,5.73255,0.0234185
RC206_co_25.txt,2,247.876,268.527,26.4821,5.4266,0.0208894
RC207_co_25.txt,2,260.498,263.413,2.33799,5.80197,0.0182353
RC208_co_25.txt,1,193.606,198.243,3.30252,5.31023,0.0558997
