instance_name,Num Vehicles,Best Distance,AVG Distance,Std Distance,AVG Runtime (s),Std Runtime (s)
C208_co_25.txt,1,162.554,165.491,3.20524,1.68214,0.218957
C204_co_25.txt,1,147.252,149.336,0.949319,1.74371,0.210437
C202_co_25.txt,1,119.869,119.869,1.42109e-14,2.0508,0.248365
C201_co_25.txt,2,196.172,196.426,0.762649,1.66965,0.123027
C105_co_25.txt,3,206.646,208.049,1.37194,1.80893,0.194692
C103_co_25.txt,3,204.778,205.302,0.766417,1.9051,0.144694
C106_co_25.txt,3,205.578,206.858,0.781898,1.80824,0.144161
C107_co_25.txt,3,205.578,207.596,1.08384,1.74688,0.214547
C205_co_25.txt,2,168.813,168.814,0.00264187,1.46754,0.216729
C109_co_25.txt,3,140.844,141.787,0.432261,1.52897,0.289389
C102_co_25.txt,3,143.953,145.319,1.71827,1.88435,0.227731
C203_co_25.txt,1,146.856,146.988,0.393855,2.11366,0.282781
C206_co_25.txt,2,171.73,172.609,1.2901,1.75581,0.171719
C101_co_25.txt,3,199.292,199.884,0.657885,1.52212,0.228862
C104_co_25.txt,3,191.175,196.152,4.1982,1.52214,0.207663
C108_co_25.txt,3,155.931,157.224,1.53149,1.80036,0.198743
C207_co_25.txt,1,121.731,126.055,3.3821,1.71614,0.185969
R112_co_25.txt,2,181.288,181.288,0,1.85929,0.185371
R202_co_25.txt,2,258.403,260.994,3.17251,1.56676,0.130127
R107_co_25.txt,2,234.978,237.937,2.4117,1.24945,0.243278
R104_co_25.txt,2,214.581,214.713,0.260784,1.28555,0.148012
R206_co_25.txt,1,191.903,192.304,1.20184,1.59324,0.272378
R101_co_25.txt,2,178.844,178.844,2.84217e-14,1.57325,0.271782
R201_co_25.txt,3,305.194,305.194,5.68434e-14,1.50288,0.239966
R209_co_25.txt,1,233.123,233.123,2.84217e-14,1.352,0.190926
R203_co_25.txt,2,186.01,188.468,4.18992,1.58001,0.240844
R205_co_25.txt,1,220.001,220.001,2.84217e-14,1.23942,0.19658
R109_co_25.txt,3,260.979,261.7,1.4662,1.47129,0.195826
R108_co_25.txt,2,233.913,233.937,0.0464833,1.9622,0.184306
R105_co_25.txt,2,194.491,194.491,2.84217e-14,2.01279,0.300167
R208_co_25.txt,1,164.016,164.016,0,1.93954,0.236893
R210_co_25.txt,2,279.627,279.703,0.152236,1.29856,0.101022
R204_co_25.txt,1,154.568,154.712,0.431449,1.55354,0.233145
R102_co_25.txt,2,188.066,188.066,2.84217e-14,1.86798,0.340974
R111_co_25.txt,2,240.494,243.151,0.885816,1.63387,0.159977
R207_co_25.txt,1,198.279,198.279,2.84217e-14,1.65232,0.215874
R106_co_25.txt,2,177.303,177.303,2.84217e-14,1.56522,0.14641
R110_co_25.txt,3,231.964,236.048,3.9057,1.53176,0.174223
R103_co_25.txt,2,197.986,197.986,2.84217e-14,1.6134,0.130334
R211_co_25.txt,1,131.778,131.778,2.84217e-14,2.00942,0.194125
RC104_co_25.txt,3,309.932,310.484,0.479203,1.33906,0.173257
RC201_co_25.txt,2,270.767,271.134,1.10176,1.5677,0.185809
RC103_co_25.txt,3,239.882,239.882,2.84217e-14,1.76437,0.246819
RC204_co_25.txt,1,175.927,175.927,3.24057e-14,1.76019,0.271908
RC202_co_25.txt,3,294.639,294.817,0.35502,1.4244,0.176655
RC102_co_25.txt,3,292.233,296.109,1.82861,1.68112,0.245124
RC101_co_25.txt,3,309.177,309.674,1.24711,1.53632,0.370725
RC208_co_25.txt,1,182.773,183.018,0.736291,1.75302,0.230312
RC205_co_25.txt,3,284.072,285.183,1.55217,1.24318,0.165184
RC206_co_25.txt,2,247.483,249.991,1.98465,1.57764,0.180618
RC108_co_25.txt,3,269.96,270.719,2.27867,1.65194,0.317695
RC207_co_25.txt,2,251.898,252.237,0.916142,1.61867,0.227643
RC203_co_25.txt,1,208.392,208.694,0.604258,1.72843,0.216225
RC107_co_25.txt,3,299.311,300.161,1.09279,1.46501,0.12946
RC106_co_25.txt,4,277.273,278.11,0.454885,1.50406,0.179454
RC105_co_25.txt,3,310.293,310.293,0,1.90785,0.180833
