iter,best_objective
0,1515.77
1,1652.1
2,1637.45
3,1545.68
4,1674.02
5,1440.44
6,1887.17
7,1686.71
8,1606.34
9,1520.62
10,1574.77
11,1709
12,1553.99
13,1624.21
14,1437.4
15,1469.73
16,1433.07
17,1674.9
18,1552.64
19,1626.19
20,1628.92
21,1649
22,1803.74
23,1743.98
24,1538.54
25,1512.72
26,1492.53
27,1658.61
28,1698
29,1664.95
30,1589.7
31,1671.8
32,1727.69
33,1621.72
34,1564.77
35,1777.65
36,1854.45
37,1633.85
38,1546.57
39,1654.97
40,1923.53
41,1773.35
42,1967.55
43,1701.03
44,1658.59
45,1792.52
46,1808.34
47,1917.66
48,1857.46
49,1788
50,1775.76
51,1656.65
52,1655.85
53,1817.9
54,1750.48
55,1758.68
56,1561.61
57,1819.56
58,1986.04
59,2004.58
60,1730.31
61,1799.19
62,1630.54
63,1583.62
64,1891.79
65,1944.9
66,1689.55
67,1466.81
68,1854.55
69,1844.84
70,1706.9
71,1847.17
72,1816.04
73,1630.69
74,2032.73
75,1804.02
76,1732.72
77,1650.27
78,1990.82
79,1689.48
80,1934.97
81,1704.91
82,1759.22
83,2067.28
84,1941.9
85,1764.63
86,2006.43
87,2014.62
88,2005.28
89,1397.85
90,1727.71
91,1425
92,1454.43
93,1588.29
94,1854.73
95,1508.98
96,1958.95
97,1400.16
98,1809.64
99,1351.41
100,1426.69
101,1426.69
102,1426.69
103,1426.69
104,1426.69
105,1426.69
106,1426.69
107,1426.69
108,1426.69
109,1426.69
110,1426.69
111,1426.69
112,1426.69
113,1426.69
114,1426.69
115,1426.69
116,1426.69
117,1426.69
118,1426.69
119,1426.69
120,1426.69
121,1426.69
122,1426.69
123,1426.69
124,1426.69
125,1426.69
126,1426.69
127,1426.69
128,1426.69
129,1426.69
130,1426.69
131,1426.69
132,1426.69
133,1426.69
134,1426.69
135,1426.69
136,1426.69
137,1426.69
138,1426.69
139,1426.69
140,1426.69
141,1426.69
142,1426.69
143,1426.69
144,1426.69
145,1426.69
146,1426.69
147,1426.69
148,1426.69
149,1426.69
150,1426.69
151,1426.69
152,1426.69
153,1426.69
154,1426.69
155,1426.69
156,1426.69
157,1426.69
158,1426.69
159,1426.69
160,1426.69
161,1426.69
162,1426.69
163,1426.69
164,1426.69
165,1426.69
166,1426.69
167,1426.69
168,1426.69
169,1426.69
170,1426.69
171,1426.69
172,1426.69
173,1426.69
174,1426.69
175,1426.69
176,1426.69
177,1426.69
178,1426.52
179,1426.52
180,1423.11
181,1360.56
182,1360.56
183,1360.56
184,1360.56
185,1360.56
186,1360.56
187,1360.56
188,1360.56
189,1360.56
190,1360.56
191,1340.31
192,1340.31
193,1340.31
194,1340.31
195,1340.31
196,1340.31
197,1340.31
198,1340.31
199,1331
200,1331
