iter,best_objective
0,403.65
1,254.918
2,254.918
3,232.261
4,232.261
5,232.261
6,231.49
7,223.683
8,223.683
9,217.223
10,217.223
11,217.223
12,213.39
13,213.39
14,213.39
15,209.305
16,209.305
17,209.305
18,205.389
19,205.389
20,205.389
21,205.389
22,205.389
23,205.389
24,205.389
25,203.373
26,203.212
27,203.212
28,203.212
29,203.212
30,203.212
31,203.212
32,203.212
33,203.212
34,203.212
35,203.212
36,203.212
37,203.212
38,203.212
39,203.212
40,203.212
41,203.212
42,203.212
43,203.212
44,203.212
45,200.835
46,200.835
47,200.835
48,200.835
49,200.835
50,200.835
51,200.835
52,200.835
53,200.835
54,200.835
55,200.835
56,200.835
57,200.835
58,200.835
59,200.835
60,200.835
61,200.835
62,200.835
63,200.835
64,200.835
65,200.835
66,200.835
67,200.835
68,200.835
69,200.835
70,200.835
71,200.835
72,200.835
73,200.835
74,200.835
75,200.835
76,200.835
77,200.835
78,200.835
79,200.835
80,200.835
81,200.835
82,200.835
83,200.835
84,200.835
85,200.835
86,200.835
87,200.835
88,200.835
89,200.835
90,200.835
91,200.835
92,200.835
93,200.835
94,200.835
95,200.835
96,200.835
97,200.835
98,200.835
99,200.835
100,200.835
101,200.835
102,200.835
103,200.835
104,200.835
105,200.835
106,200.835
107,200.835
108,200.835
109,200.835
110,200.835
111,200.835
112,200.835
113,200.835
114,200.835
115,200.835
116,200.835
117,200.835
118,200.835
119,200.835
120,200.835
121,200.835
122,200.835
123,200.835
124,200.835
125,200.835
126,200.835
127,200.835
128,200.835
129,200.835
130,200.835
131,200.835
132,200.835
133,200.835
134,200.835
135,200.835
136,200.835
137,200.835
138,200.835
139,200.835
140,200.835
141,200.835
142,200.835
143,200.835
144,200.835
145,200.835
