param_name,param_value,avg_runtime,std_runtime,avg_solution_quality,std_solution_quality,instance
m,10,51.523208,31.622756488837588,1429.4874,1136.941328929422,C101_co_100.txt
m,30,64.86618,45.19383870868904,1939.9752,1391.2851385671092,C101_co_100.txt
m,50,183.82659999999998,64.3823566848869,874.8036,35.58923091048753,C101_co_100.txt
m,70,275.5908,125.3383747808308,884.783,26.42863295745734,C101_co_100.txt
I,5,50.314842,39.856180174288156,2006.1826,1387.310220252774,C101_co_100.txt
I,10,167.1086,38.8061984842628,878.5378,42.16743406587602,C101_co_100.txt
I,15,357.81239999999997,54.66433818130427,865.3244,29.452519472873618,C101_co_100.txt
I,20,345.563,108.49369910967181,876.1204,25.778041649822857,C101_co_100.txt
LS,10,170.8766,28.931198355754297,892.9642,28.328787976191286,C101_co_100.txt
LS,50,186.0092,36.76820943015855,891.5576,16.087801443951243,C101_co_100.txt
LS,100,172.3062,39.7018678490068,896.0284,33.34762779869059,C101_co_100.txt
LS,150,202.33859999999999,51.72599666801984,890.6344,21.867115008615112,C101_co_100.txt
alpha,0.5,150.781,26.268118442324717,1861.54,21.496217109063615,C101_co_100.txt
alpha,0.75,168.4548,50.545308557768244,1316.81,106.62841436502751,C101_co_100.txt
alpha,1.0,165.7882,52.55574788926518,888.2386,42.31286226196474,C101_co_100.txt
alpha,1.25,91.1483,17.723325987945937,879.7556,28.5493534217502,C101_co_100.txt
alpha,1.5,97.2479,21.252332562803545,888.9646,26.238604751396377,C101_co_100.txt
beta,0.5,167.9412,31.978285377737187,904.4624,41.39009788343101,C101_co_100.txt
beta,0.75,189.5402,36.97255276823606,879.3594,20.111116435941607,C101_co_100.txt
beta,1.0,182.1008,83.43213742137979,877.1326,23.476935805168452,C101_co_100.txt
beta,1.25,166.86216,77.63594974577177,1376.7386,1150.6887142656349,C101_co_100.txt
rho,0.4,156.82064,85.21235969064581,1428.0426,1137.9041660802548,C101_co_100.txt
rho,0.5,160.541,27.294498273461627,863.0166,9.43448932375248,C101_co_100.txt
rho,0.6,176.73,40.147845950934894,857.2864,8.500891941437702,C101_co_100.txt
rho,0.7,121.72706,34.2734300044218,880.9603999999999,32.691720087814275,C101_co_100.txt
Q,0.5,150.59,40.86,903.89,30.07,C101_co_100.txt
Q,1.0,116.8362,24.428956930249807,952.1004,39.88300020434773,C101_co_100.txt
Q,1.5,174.9412,56.80298810097934,912.5084,25.657890955805417,C101_co_100.txt
Q,2.0,182.9436,34.59978420886466,908.8936,20.467796310301704,C101_co_100.txt
Q,2.5,150.8512,25.900630604292243,899.337,33.75569706730999,C101_co_100.txt
t,10,146.8012,18.93873180020247,888.7316,43.45464309829273,C101_co_100.txt
t,40,217.1222,52.7463439225886,870.3140000000001,22.334010309391395,C101_co_100.txt
t,70,139.5904,29.117247325253807,916.5678,20.88711934901505,C101_co_100.txt
t,100,175.9784,37.32743007896472,891.8174,20.792158973997875,C101_co_100.txt
t,130,149.1014,37.42856875836959,912.832,25.67003572260859,C101_co_100.txt
