iter,best_objective
0,1.79769e+308
1,3671.86
2,3671.86
3,3584.39
4,3584.39
5,3583.53
6,3583.53
7,3469.61
8,3469.61
9,3204.39
10,3095.28
11,2750.58
12,2425.68
13,2003.63
14,1861.2
15,1791.66
16,1640.74
17,1536.21
18,1431.73
19,1401.52
20,1225.67
21,1111.94
22,1111.94
23,1111.94
24,1111.94
25,1082.86
26,1060.29
27,1055.34
28,985.282
29,984.709
30,984.709
31,969.457
32,946.491
33,934.916
34,934.916
35,930.837
36,925.453
37,925.453
38,920.717
39,906.492
40,906.492
41,906.492
42,901.366
43,888.976
44,886.257
45,884.556
46,879.727
47,879.727
48,876.931
49,874.524
50,874.524
51,874.524
52,871.805
53,871.805
54,871.805
55,871.805
56,871.805
57,871.805
58,867.965
59,867.965
60,867.965
61,866.341
62,866.341
63,866.341
64,866.341
65,866.341
66,866.341
67,865.739
68,865.739
69,865.739
70,865.739
71,865.739
72,865.739
73,865.739
74,865.739
75,865.739
76,865.739
77,865.739
78,865.739
79,865.739
80,865.739
81,865.739
82,865.739
